id,unique_id,raceid,racetype,racetypeid,ballotorder,candidateid,description,electiondate,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
16672-polid-100007-16004,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19007,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,12,100.0,12,16004,Appanoose,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-22603-16004,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19007,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,12,100.0,12,16004,Appanoose,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16005,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19009,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,2,100.0,2,16005,Audubon,False,,,Iowa,IA,False,False,187,0.625418,True
16672-polid-1445-16005,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19009,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,2,100.0,2,16005,Audubon,False,,,Iowa,IA,False,False,112,0.374582,False
16672-polid-100004-16005,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19009,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,2,100.0,2,16005,Audubon,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16005,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19009,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,2,100.0,2,16005,Audubon,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-22603-16005,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19009,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,2,100.0,2,16005,Audubon,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16006,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19011,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,19,100.0,19,16006,Benton,False,,,Iowa,IA,False,False,672,0.56,True
16672-polid-1445-16006,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19011,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,19,100.0,19,16006,Benton,False,,,Iowa,IA,False,False,528,0.44,False
16672-polid-100004-16006,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19011,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,19,100.0,19,16006,Benton,False,,,Iowa,IA,False,False,0,0.0,False
